,name,均值,标准差,三阶矩,一致性,图像熵,灰度共生矩阵结果,能量,对比度,熵,逆差距
1531,DiPian_tarin,108.11458333333333,4.452378735333115,0.000745974993733458,0.06712962720484938,4.104156806004682,0,0.09502797067901235,0.6145833333333334,2.4640057408184832,0.6968749999999998
1532,DiPian_tarin,93.34873949579831,2.960563384787363,5.585225466646913e-06,0.09706235898192972,3.568413966130363,0,0.0950850928606737,0.6260504201680672,2.4122737067245383,0.6987394957983194
1533,DiPian_tarin,120.622,9.037649968184217,-0.00878584985543796,0.035944000273048005,5.030771089967242,0,0.04898399999999999,0.9660000000000005,3.2212278003913117,0.6747122171945703
1534,DiPian_tarin,64.17857142857143,5.1319743306401335,-0.0013545432255019673,0.06405895923671778,4.089935453636729,0,0.032596371882086174,1.7738095238095237,2.935506043612736,0.5157979407979406
1535,DiPian_tarin,58.81470588235294,6.973758989296667,-0.0021945017321328324,0.04441176864565932,4.671090276078606,0,0.02445501730103806,3.1470588235294095,3.8122572865936277,0.5080902457798399
1536,DiPian_tarin,65.78698224852072,5.65807345506916,-0.002083757222403645,0.05402471934212372,4.355641873489033,0,0.032211757291411375,1.7810650887573964,3.3167859321194806,0.5507462047176631
1537,DiPian_tarin,111.50617283950618,10.794678909391735,-0.011936600503801322,0.0322841527406581,5.242451090637628,0,0.03626251598032903,1.4373897707231038,3.5387919834677066,0.636976752663027
1538,DiPian_tarin,37.41880341880342,7.876438337677429,-0.0023440323122166638,0.044342175431665964,4.656356166132293,0,0.014610271020527445,5.247863247863248,3.942467513634655,0.3571757347322957
1539,DiPian_tarin,94.36842105263158,11.304001336573183,0.006698633243020505,0.02825940796174109,5.387152582061125,0,0.03316500043698157,0.9005847953216377,3.4616284140926097,0.6617078140297953
1540,DiPian_tarin,40.38125,8.283169667357065,-0.0022479489230894053,0.040937499532446964,4.862840398371042,0,0.01203124999999999,11.13125,4.217458604690329,0.3121654483768722
1541,DiPian_tarin,120.66300366300366,5.692034315054174,8.442187217914657e-05,0.05046358040817722,4.430159001916402,0,0.0626870077419528,0.7765567765567765,2.7677497952438395,0.6564102564102563
1542,DiPian_tarin,96.90579710144928,7.986602014301355,0.008569810050481698,0.052836706323432736,4.673867983352747,0,0.05001867021400733,0.9903381642512079,3.14861177812784,0.6173913043478264
