,name,均值,标准差,三阶矩,一致性,图像熵,灰度共生矩阵结果,能量,对比度,熵,逆差距
0,DiBei(113个目标),148.797,27.329,-0.351,0.015,6.404,0,0.016515002,5.60586685,4.484573784,0.450373246
1,DiBeiNormal（14张正常区域）,115.731,24.839,0.034,0.012,6.569,0,0.015430972,4.006100877,4.599878626,0.49966087
