,name,均值,标准差,三阶矩,一致性,图像熵,灰度共生矩阵结果,能量,对比度,熵,逆差距
0,DiBei,68.15809523809524,21.819368516483074,0.020213054636037685,0.014489493371200979,6.316107407506986,0,0.007816578483245157,6.4698412698412735,5.001485046206036,0.40479209067729677
1,DiBei,95.5755538579068,35.585541651486864,0.2706035989544242,0.008703542775795992,7.045251114079183,0,0.007531717597102028,4.94633307868602,5.170855556104678,0.4420696355497168
2,DiBei,130.63731656184487,25.583324050491637,-0.16311092416781794,0.01452464407128673,6.432635057225874,0,0.007666910347447778,12.078266946191473,5.094796060615646,0.3173043150057236
3,DiBei,119.95598006644518,28.106061818360537,-0.21344568730451305,0.011739660469231694,6.642782970849663,0,0.006979779472632746,9.371262458471765,5.092746739526561,0.3299832372644716
4,DiBei,121.98263157894736,29.37110487596733,-0.12323159388075676,0.010446398979453875,6.817609452367496,0,0.006806094182825475,9.504736842105261,5.255385047829005,0.3477174199090819
5,DiBei,94.57879948914432,41.03039524683044,0.3573166190627497,0.007091792484391846,7.315103098320582,0,0.007697332687423874,5.68684546615581,5.205815575845105,0.44998109908364126
6,DiBei,118.24029680365297,41.93060819971903,0.31572533635748007,0.007416562042788399,7.260520497369696,0,0.010506692069250695,2.917237442922373,4.841354741359606,0.5292829418719641
7,DiBei,56.67307692307692,20.20255253693532,-0.05669886896542593,0.0212853399971209,5.761287743972091,0,0.009040105193951346,12.121794871794872,4.352556156912364,0.2788626007816127
8,DiBei,160.14960488505747,38.811923041183334,-1.2456809957450055,0.009680922477237175,7.026474178147569,0,0.010318965259198695,7.485452586206902,5.028898743193433,0.41668550233615265
9,DiBei,53.109276729559745,30.96219807326733,0.7202788717259998,0.012604525162043245,6.645965274040058,0,0.01736249555001799,7.863522012578634,4.674342993542793,0.4889093032017745
10,DiBei,83.44780487804879,29.137277270005736,0.11323163375680281,0.011003330992593874,6.765464151342271,0,0.006243842950624608,9.55658536585363,5.32874336244428,0.3555965410333732
11,DiBei,157.53293545534925,30.951161182447084,-0.082189146373968,0.011071710193917284,6.876802688400687,0,0.01571655170850269,4.631078691423519,4.696205636912567,0.48182820489899364
12,DiBei,81.24195075757575,15.817426811989568,-0.001704091611842631,0.01910619016140913,5.972739706406141,0,0.014511682879935706,3.666666666666667,4.551620257194768,0.48024041151191815
